model,horizon,region,n,mae,rmse,mape,underestimation_rate,expected_shortage,peak_error,peak_timing_error,wis_80,pinball_q10,pinball_q90
seasonal_naive,14,East of England,32,11.09375,14.012271407591276,0.4029460707591158,0.4375,99.0,20.0,1.0,,,
seasonal_naive,14,London,32,24.3125,30.488727425066465,0.24774619947485635,0.34375,197.0,17.0,2.0,,,
seasonal_naive,14,Midlands,32,16.59375,20.35236472747086,0.48827058654053557,0.34375,147.0,25.0,1.0,,,
seasonal_naive,14,North East and Yorkshire,32,12.625,15.303185942802891,0.39904208394285456,0.3125,116.0,17.0,1.0,,,
seasonal_naive,14,North West,32,13.34375,16.252884359399104,0.5117468638331101,0.4375,133.0,3.0,2.0,,,
seasonal_naive,14,South East,32,13.90625,17.321410161993164,0.5536094323383944,0.34375,119.0,29.0,1.0,,,
seasonal_naive,14,South West,32,9.71875,13.354540426386825,0.7464514719352181,0.375,99.0,19.0,1.0,,,
seasonal_naive,21,East of England,32,13.15625,16.606662819483027,0.5025286215082584,0.40625,103.0,34.0,1.0,,,
seasonal_naive,21,London,32,30.28125,38.44273338356678,0.32972274461970774,0.40625,209.0,22.0,2.0,,,
seasonal_naive,21,Midlands,32,21.125,25.691681533134417,0.6521633179848645,0.3125,179.0,25.0,0.0,,,
seasonal_naive,21,North East and Yorkshire,32,15.09375,18.144386184161757,0.5297770158184403,0.28125,123.0,17.0,0.0,,,
seasonal_naive,21,North West,32,16.875,20.003124755897513,0.7247942755325449,0.375,146.0,31.0,2.0,,,
seasonal_naive,21,South East,32,17.65625,22.133825923233424,0.7671081988659324,0.34375,148.0,42.0,1.0,,,
seasonal_naive,21,South West,32,10.4375,15.124483462254174,0.8802607450706328,0.4375,95.0,24.0,9.0,,,
seasonal_naive,28,East of England,32,14.875,19.009865859600378,0.6274817342392724,0.34375,106.0,45.0,0.0,,,
seasonal_naive,28,London,32,35.5,45.80120085761944,0.4057149480004917,0.34375,218.0,56.0,2.0,,,
seasonal_naive,28,Midlands,32,25.09375,30.755588922990892,0.827823960440603,0.375,197.0,41.0,0.0,,,
seasonal_naive,28,North East and Yorkshire,32,18.1875,21.365860619221497,0.6663595218598786,0.34375,138.0,33.0,0.0,,,
seasonal_naive,28,North West,32,19.71875,23.371323240244656,0.894826632104984,0.40625,163.0,37.0,2.0,,,
seasonal_naive,28,South East,32,20.09375,25.527558637676265,0.9393614360270048,0.3125,164.0,57.0,24.0,,,
seasonal_naive,28,South West,32,11.125,16.0,1.088359858500024,0.5,100.0,24.0,8.0,,,
xgboost_per_region,7,East of England,32,8.428020849823952,10.664622339679523,0.30627181083022303,0.28125,56.55018472671509,11.973358154296875,0.0,,,
xgboost_per_region,7,London,32,16.102448344230652,20.639504707043766,0.1597920666362046,0.40625,143.07034301757812,9.383636474609375,1.0,,,
xgboost_per_region,7,Midlands,32,9.822113454341888,12.72399922657121,0.28136968505462334,0.375,72.56427001953125,9.14459228515625,1.0,,,
xgboost_per_region,7,North East and Yorkshire,32,8.322393149137497,9.720104744684416,0.29930863983201866,0.3125,75.67130088806152,5.748283386230469,1.0,,,
xgboost_per_region,7,North West,32,9.835434556007385,12.281388822562494,0.4568898021840506,0.40625,84.60504341125488,0.00644683837890625,2.0,,,
xgboost_per_region,7,South East,32,6.8439555168151855,9.491723579593472,0.23114270117741273,0.34375,68.923348903656,18.50884246826172,0.0,,,
xgboost_per_region,7,South West,32,7.136363968253136,11.624737192335338,0.48208021646522936,0.46875,75.93847465515137,10.032249450683594,1.0,,,
xgboost_per_region,14,East of England,32,15.073763519525528,19.009839553685005,0.5571658723052779,0.1875,59.169493675231934,45.7738037109375,0.0,,,
xgboost_per_region,14,London,32,25.916759252548218,34.65489624601218,0.26628070618998656,0.25,173.3293113708496,45.0950927734375,3.0,,,
xgboost_per_region,14,Midlands,32,21.3359192609787,29.78481325793461,0.5511440168850832,0.3125,67.98392295837402,62.60121154785156,0.0,,,
xgboost_per_region,14,North East and Yorkshire,32,16.113418996334076,19.83755201016676,0.5829336940428385,0.4375,137.85865020751953,2.5079727172851562,1.0,,,
xgboost_per_region,14,North West,32,17.234936475753784,23.024423990565,0.7839968529532133,0.28125,72.7835521697998,11.874404907226562,2.0,,,
xgboost_per_region,14,South East,32,11.77048471570015,15.954591858616705,0.42398701617605083,0.4375,99.48418188095093,27.32025146484375,0.0,,,
xgboost_per_region,14,South West,32,10.504067838191986,18.050802335956213,0.7912872873907643,0.40625,81.20300769805908,50.06855010986328,1.0,,,
xgboost_per_region,21,East of England,32,21.29613484442234,29.317245010016887,0.7883603788451854,0.1875,81.79501390457153,99.72102355957031,0.0,,,
xgboost_per_region,21,London,32,39.87434756755829,61.50055439295177,0.3882040345955358,0.25,217.46273040771484,236.98095703125,1.0,,,
xgboost_per_region,21,Midlands,32,32.764590710401535,43.13699052997305,0.9169332765016838,0.1875,76.3533182144165,66.93649291992188,1.0,,,
xgboost_per_region,21,North East and Yorkshire,32,24.420460790395737,34.577964155392834,0.8898085265157623,0.3125,149.43543815612793,51.83616638183594,29.0,,,
xgboost_per_region,21,North West,32,32.89171260595322,40.13084828743383,1.4185743946304719,0.21875,73.54190826416016,60.87550354003906,26.0,,,
xgboost_per_region,21,South East,32,16.692874282598495,22.864310131400135,0.653243964950819,0.40625,137.59456729888916,60.578712463378906,0.0,,,
xgboost_per_region,21,South West,32,13.36311112344265,23.442396818856206,1.1604447431753857,0.375,81.36605215072632,87.90161895751953,9.0,,,
xgboost_per_region,28,East of England,32,30.949094861745834,51.010903708578006,1.1449148886694254,0.25,93.94592189788818,207.54791259765625,1.0,,,
xgboost_per_region,28,London,32,57.45320117473602,130.06062043627384,0.5521824321948231,0.3125,242.91321182250977,666.837158203125,1.0,,,
xgboost_per_region,28,Midlands,32,42.583234548568726,52.46883768521763,1.4137610631334536,0.15625,74.27643966674805,77.06907653808594,0.0,,,
xgboost_per_region,28,North East and Yorkshire,32,28.42262762784958,43.52726001825225,1.154334889558497,0.25,93.20090866088867,82.49703979492188,28.0,,,
xgboost_per_region,28,North West,32,48.568344712257385,60.9522009459492,2.198898738611505,0.21875,53.68868446350098,104.43951416015625,26.0,,,
xgboost_per_region,28,South East,32,23.80346904695034,33.511405791650866,1.0860320448965477,0.375,172.7861466407776,115.90591430664062,25.0,,,
xgboost_per_region,28,South West,32,20.5829608887434,40.59443986097744,1.8366610592470816,0.375,80.87826681137085,167.58067321777344,8.0,,,
